state	party	last_name	first_name	full_name	screen_name	senate_rank	senate_class		state_population	state_population_voters	name	followers_count	friends_count	listed_count	twitter_join_date	twitter_age	favourites_count	statuses_count	profile_background_color	profile_image_url	profile_banner_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color
GA	Republican	Perdue	David	David Perdue	sendavidperdue	junior	2		9507600	7063805	David Perdue	70806	1011	1399	2014-11-05	5	544	4112	C0DEED	http://pbs.twimg.com/profile_images/1187762668641361921/NXZ7vtXE_normal.jpg	https://pbs.twimg.com/profile_banners/2863210809/1572020733	1DA1F2	C0DEED	DDEEF6	333333
HI	Democrat	Hirono	Mazie	Mazie K. Hirono	maziehirono	junior	1		1303955	1006725	Senator Mazie Hirono	425434	1439	3313	2009-11-24	9	106	5749	B7A7EB	http://pbs.twimg.com/profile_images/1130916929957445632/mkavgyCa_normal.jpg	https://pbs.twimg.com/profile_banners/92186819/1519779404	CC3366	FFFFFF	DDEEF6	333333
HI	Democrat	Schatz	Brian	Brian Schatz	SenBrianSchatz	senior	3		1303955	1006725	Senator Brian Schatz	45439	1385	1114	2013-03-12	6	29	1570	C0DEED	http://pbs.twimg.com/profile_images/849770568677298176/dzXWNsOx_normal.jpg	https://pbs.twimg.com/profile_banners/1262099252/1433862030	106B98	FFFFFF	DDEEF6	333333
IA	Republican	Ernst	Joni	Joni Ernst	SenJoniErnst	junior	2		3012095	2295045	Joni Ernst	70971	146	1322	2014-11-02	5	153	3507	FFFFFF	http://pbs.twimg.com/profile_images/1191837105045098501/bXu9BM8A_normal.jpg	https://pbs.twimg.com/profile_banners/2856787757/1568067950	4A913C	C0DEED	DDEEF6	333333
IA	Republican	Grassley	Charles	Chuck Grassley	ChuckGrassley	senior	3		3012095	2295045	ChuckGrassley	465869	13673	5694	2007-11-26	11	1	8439	9AE4E8	http://pbs.twimg.com/profile_images/921098191507984385/XYteQA6t_normal.jpg		0000FF	87BC44	E0FF92	0
ID	Republican	Crapo	Michael	Mike Crapo	MikeCrapo	senior	3		1574200	1148895	Senator Mike Crapo	100926	745	1791	2012-06-05	7	896	6791	C0DEED	http://pbs.twimg.com/profile_images/2286763334/atyer80hkqhdwmgk73t0_normal.jpeg	https://pbs.twimg.com/profile_banners/600463589/1358530313	0084B4	FFFFFF	DDEEF6	333333
ID	Republican	Risch	James	James E. Risch	SenatorRisch	junior	2		1574200	1148895	Jim Risch	87339	320	1600	2013-01-16	6	253	1783	1717EB	http://pbs.twimg.com/profile_images/3161364149/32f2f83385840438a393070a7e426bde_normal.jpeg	https://pbs.twimg.com/profile_banners/1096059529/1477416030	C71414	FFFFFF	DDEEF6	333333
IL	Democrat	Duckworth	Tammy	Tammy Duckworth	SenDuckworth	junior	3		11928165	9003475	Tammy Duckworth	560432	6874	3302	2013-01-03	6	431	6481	C0DEED	http://pbs.twimg.com/profile_images/1154780940226486273/VkOMx-UV_normal.jpg	https://pbs.twimg.com/profile_banners/1058520120/1571410619	0084B4	FFFFFF	DDEEF6	333333
IL	Democrat	Durbin	Richard	Richard J. Durbin	SenatorDurbin	senior	2		11928165	9003475	Senator Dick Durbin	637188	2408	5013	2011-02-04	8	576	15517	C0DEED	http://pbs.twimg.com/profile_images/871723567456686081/fbJgQgO1_normal.jpg	https://pbs.twimg.com/profile_banners/247334603/1438365026	1DA1F2	C0DEED	DDEEF6	333333
IN	Republican	Braun	Mike	Mike Braun	SenatorBraun	junior	1		6385820	4824555	Senator Mike Braun	9497	112	243	2019-01-03	0	14	701	0	http://pbs.twimg.com/profile_images/1080872040184401924/tXytvVUd_normal.jpg	https://pbs.twimg.com/profile_banners/1080870981877534720/1560287247	1B95E0	0	0	0
